account_global_legal_name,display_name,industry,cities,centres,leaders,existing_slug,surfaced_by
"[24]7.ai, Inc.","[24]7.ai, Inc.","Software & SaaS","Bengaluru; Hyderabad; Shillong",3,49,"","industry: Software & SaaS"
"3M Co.","3M Co.","Industrial","Bengaluru; Pune; Ahmedabad; Chennai; Gurugram",8,26,"3m-co","industry: Industrial"
"7-Eleven, Inc.","7-Eleven, Inc.","Retail & Consumer Goods","Bengaluru",1,30,"","industry: Retail & Consumer Goods"
"A.P. Moller Maersk A/S","A.P. Moller Maersk A/S","Travel, Transport, Logistics & Hospitality","Chennai; Bengaluru; Kanchipuram; Mumbai; Pune",6,83,"","city: Bengaluru"
"AB SKF","AB SKF","Industrial","Bengaluru; Pune; Ahmedabad; Haridwar; Mumbai; Mysuru",10,34,"","industry: Industrial"
"Abacus.AI, Inc.","Abacus.AI, Inc.","Software & SaaS","Mumbai",1,9,"","industry: Software & SaaS"
"ABB Ltd.","ABB Ltd.","Industrial","Bengaluru; Nashik; Vadodara; Chennai; Faridabad; Hyderabad; Mumbai",12,197,"","industry: Industrial"
"Abbott Laboratories","Abbott Laboratories","Healthcare Life Sciences & Pharma","Mumbai; Bengaluru; Bharuch; New Delhi; Salcete; Solan",8,284,"","industry: Healthcare Life Sciences & Pharma"
"AbbVie Inc.","AbbVie Inc.","Healthcare Life Sciences & Pharma","Bengaluru",1,13,"","industry: Healthcare Life Sciences & Pharma"
"ABBYY Development Inc.","ABBYY Development Inc.","Software & SaaS","Bengaluru; New Delhi",2,1,"","industry: Software & SaaS"
"ABC Fitness Solutions, LLC","ABC Fitness Solutions, LLC","Software & SaaS","Hyderabad",1,2,"","industry: Software & SaaS"
"AbsolutData Holdings, Inc. (Acquired by Infogain Corp.)","AbsolutData Holdings, Inc.","Professional Services","Bengaluru; Gurugram",2,32,"","industry: Professional Services"
"Accenture plc","Accenture plc","IT Service","Bengaluru; Mumbai; Chennai; Gurugram; Hyderabad; Bhubaneswar; Coimbatore; Gandhinagar; Indore; Jaipur; Kolkata; Navi Mumbai; Noida; Pune",23,1482,"","industry: IT Service"
"Accolite Digital LLC","Accolite Digital LLC","IT Service","Bengaluru; Chennai; Gurugram; Hyderabad",4,25,"","industry: IT Service"
"ACI Worldwide, Inc.","ACI Worldwide, Inc.","Software & SaaS","Bengaluru; Mumbai; Pune",3,17,"","industry: Software & SaaS"
"Acquia, Inc.","Acquia, Inc.","Software & SaaS","Pune",1,13,"","industry: Software & SaaS"
"Actalent, Inc.","Actalent, Inc.","Professional Services","Bengaluru; Chennai; Hyderabad; Pune",4,10,"","industry: Professional Services"
"Adaequare, Inc.","Adaequare, Inc.","IT Service","Hyderabad",1,6,"","industry: IT Service"
"Adama Agricultural Solutions Ltd.","Adama Agricultural Solutions Ltd.","Chemicals","Bharuch; Hyderabad",2,14,"","city: Hyderabad"
"Adecco Group AG","Adecco Group AG","Professional Services","Bengaluru",2,17,"","industry: Professional Services"
"Adept Chips Services Pvt. Ltd. (Acquired by Quest Global Services Pte. Ltd.)","Adept Chips Services Pvt. Ltd.","IT Service","Bengaluru; Hyderabad; Belgaum; Kochi; Pune; Visakhapatnam",8,44,"","industry: IT Service"
"Adeptia, Inc.","Adeptia, Inc.","Software & SaaS","Noida",1,3,"","industry: Software & SaaS"
"Adform A/S","Adform A/S","Software & SaaS","Mumbai",1,7,"","industry: Software & SaaS"
"Adidas AG","Adidas AG","Retail & Consumer Goods","Chennai; Gurugram",2,56,"","industry: Retail & Consumer Goods"
"Adient plc","Adient plc","Automotive","Pune; Ahmedabad; Belur; Chennai; Lucknow; Noida; Rudrapur",9,15,"","industry: Automotive"
"Aditi Consulting LLC","Aditi Consulting LLC","IT Service","Bengaluru; Vadodara",2,3,"","industry: IT Service"
"Admiral Group plc","Admiral Group plc","BFSI","Gurugram",2,14,"","industry: BFSI"
"Adobe, Inc.","Adobe, Inc.","Software & SaaS","Noida; Bengaluru; Hyderabad; Pune",6,399,"","industry: Software & SaaS"
"Adolf Wuerth GmbH & Co. KG","Adolf Wuerth GmbH & Co. KG","Others","Pune; Bengaluru; Kolkata; New Delhi",5,15,"","city: Bengaluru"
"ADP, Inc.","ADP, Inc.","Software & SaaS","Bengaluru; Hyderabad; Pune",3,140,"","industry: Software & SaaS"
"Advance Auto Parts, Inc.","Advance Auto Parts, Inc.","Automotive","Hyderabad",1,11,"","industry: Automotive"
"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.","Hi-Tech","Bengaluru; Hyderabad; Mumbai",4,101,"","industry: Hi-Tech"
"Advanta Seeds DMCC","Advanta Seeds DMCC","Chemicals","Hyderabad; Pune; Sonipat",3,7,"","city: Hyderabad"
"Advantech Co., Ltd.","Advantech Co., Ltd.","Industrial","Bengaluru; Jaipur; Pune",3,5,"","industry: Industrial"
"Advantedge Healthcare Solutions Inc. (Acquired by Health Prime International)","Advantedge Healthcare Solutions Inc.","Healthcare Life Sciences & Pharma","Bengaluru; Navi Mumbai",2,8,"","industry: Healthcare Life Sciences & Pharma"
"Adyen N.V.","Adyen N.V.","BFSI","Bengaluru",1,2,"","industry: BFSI"
"AECOM Technology Corp.","AECOM Technology Corp.","Industrial","Bengaluru; Gurugram",2,22,"","industry: Industrial"
"Aegis Ltd. (Merged into StarTek, Inc.)","Aegis Ltd.","Professional Services","Chennai",1,23,"","industry: Professional Services"
"Affle 3i Ltd.","Affle 3i Ltd.","Software & SaaS","Bengaluru; Gurugram",2,10,"","industry: Software & SaaS"
"AGCO Corp.","AGCO Corp.","Agriculture","Bengaluru; Gurugram",2,8,"","city: Gurugram"
"Agilent Technologies, Inc.","Agilent Technologies, Inc.","Healthcare Life Sciences & Pharma","Ahmedabad; Manesar; Bengaluru; Hyderabad; Mumbai",7,22,"","industry: Healthcare Life Sciences & Pharma"
"Agility Public Warehousing Company K.S.C.P.","Agility Public Warehousing Company K.S.C.P.","Travel, Transport, Logistics & Hospitality","Hyderabad",1,4,"","city: Hyderabad"
"Agilon Health, Inc.","Agilon Health, Inc.","Healthcare Life Sciences & Pharma","Bengaluru",1,5,"","industry: Healthcare Life Sciences & Pharma"
"Agnity, Inc (Acquired by Transaction Network Services, Inc.)","Agnity, Inc","Telecom","Noida",1,3,"","industry: Telecom"
"AiDash, Inc.","AiDash, Inc.","Hi-Tech","Bengaluru",1,2,"","industry: Hi-Tech"
"Air Liquide S.A.","Air Liquide S.A.","Chemicals","New Delhi; Chengalpattu; Chennai; Mumbai",5,18,"","city: Mumbai"
"Air Products & Chemicals, Inc","Air Products & Chemicals, Inc","Chemicals","Pune; Ahmedabad; Bankura; Fatehgarh Sahib; Ghaziabad; Hosur; Nagpur; Puducherry; Thane; Vadodara",12,16,"","city: Pune"
"AIR Worldwide Corp. (Acquired by Verisk Analytics, Inc.)","AIR Worldwide Corp.","Software & SaaS","Hyderabad",1,5,"","industry: Software & SaaS"
"Airbnb, Inc.","Airbnb, Inc.","Travel, Transport, Logistics & Hospitality","Bengaluru; Gurugram",2,5,"","city: Gurugram"
"Airbus SE","Airbus SE","Aerospace & Defense","Bengaluru; Vadodara; New Delhi",7,41,"","city: New Delhi"
"Akamai Technologies, Inc.","Akamai Technologies, Inc.","Software & SaaS","Bengaluru; Chennai; Mumbai",3,47,"","industry: Software & SaaS"
"Aker Solutions ASA","Aker Solutions ASA","Utilities","Mumbai; Pune",2,11,"","city: Pune"
"Akzo Nobel N.V.","Akzo Nobel N.V.","Chemicals","Bengaluru; Gurugram; Noida; Pune; Thane",5,71,"","city: Pune"
"Alamy Ltd.","Alamy Ltd.","Professional Services","Thiruvananthapuram",1,3,"","industry: Professional Services"
"Alcon Inc.","Alcon Inc.","Healthcare Life Sciences & Pharma","Bengaluru",2,28,"","industry: Healthcare Life Sciences & Pharma"
"Alepo Technologies Inc.","Alepo Technologies Inc.","Software & SaaS","Navi Mumbai; Pune",2,7,"","industry: Software & SaaS"
"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc.","Healthcare Life Sciences & Pharma","Mumbai",1,2,"","industry: Healthcare Life Sciences & Pharma"
"Alfa Laval AB","Alfa Laval AB","Industrial","Pune; Satara",3,27,"","industry: Industrial"
"Aliaxis Group S.A. / N.V.","Aliaxis Group S.A. / N.V.","Industrial","Bengaluru; Chennai; Hyderabad; Kolkata; Salcete",5,19,"","industry: Industrial"
"Alight, Inc.","Alight, Inc.","Software & SaaS","Chennai; Gurugram; Hyderabad; Kochi; Noida",5,3,"","industry: Software & SaaS"
"Align Technology, Inc.","Align Technology, Inc.","Healthcare Life Sciences & Pharma","Hyderabad; Mumbai",3,11,"","industry: Healthcare Life Sciences & Pharma"
"Alimentation Couche-Tard Inc.","Alimentation Couche-Tard Inc.","Retail & Consumer Goods","Gurugram",1,3,"","industry: Retail & Consumer Goods"
"Allegion plc","Allegion plc","Industrial","Bengaluru",1,9,"","industry: Industrial"
"Allegis Group, Inc.","Allegis Group, Inc.","Professional Services","Bengaluru",1,10,"","industry: Professional Services"
"Alliance Data (Now Bread Financial Holdings, Inc.)","Alliance Data (Now Bread Financial Holdings, Inc.)","BFSI","Bengaluru",1,12,"","industry: BFSI"
"AllianceBernstein L.P.","AllianceBernstein L.P.","BFSI","Pune",1,2,"","industry: BFSI"
"Allianz SE","Allianz SE","BFSI","Pune; Thiruvananthapuram",5,53,"","industry: BFSI"
"Allstate Insurance Co.","Allstate Insurance Co.","BFSI","Bengaluru; Pune",2,49,"","industry: BFSI"
"Allvue Systems, LLC","Allvue Systems, LLC","Software & SaaS","Pune",1,2,"","industry: Software & SaaS"
"Alphabet Inc.","Alphabet Inc.","Hi-Tech","Bengaluru; Hyderabad; Gandhinagar; Gurugram; Mumbai; Navi Mumbai; New Delhi; Pune; Visakhapatnam",11,21,"","industry: Hi-Tech"
"AlphaSense, Inc.","AlphaSense, Inc.","Hi-Tech","Bengaluru; Pune",2,2,"","industry: Hi-Tech"
"Alphawave IP Group PLC","Alphawave IP Group PLC","Hi-Tech","Bengaluru; Pune",2,13,"","industry: Hi-Tech"
"Alphion Corp.","Alphion Corp.","Telecom","Chennai; Mumbai",2,10,"","industry: Telecom"
"Alstom S.A.","Alstom S.A.","Industrial","Vadodara; Bengaluru; Kolkata; Chittoor; Coimbatore; Gurugram; Hyderabad; Madhepura; New Delhi",13,176,"","industry: Industrial"
"Altair Engineering Inc.","Altair Engineering Inc.","Software & SaaS","Bengaluru; Chennai; New Delhi; Pune",4,32,"","industry: Software & SaaS"
"Alten S.A.","Alten S.A.","IT Service","Bengaluru; Chennai; Pune; Hyderabad",7,14,"","industry: IT Service"
"Altimetrik Corp.","Altimetrik Corp.","IT Service","Bengaluru; Chennai; Hyderabad; Jaipur; Pune",6,25,"","industry: IT Service"
"Altiostar Networks, Inc. (Acquired by Rakuten Group, Inc.)","Altiostar Networks, Inc.","Telecom","Bengaluru",1,10,"","industry: Telecom"
"Altisource Portfolio Solutions S.A.","Altisource Portfolio Solutions S.A.","IT Service","Bengaluru",1,19,"","industry: IT Service"
"Alvarez & Marsal Holdings, LLC","Alvarez & Marsal Holdings, LLC","Professional Services","Bengaluru; New Delhi",2,14,"","industry: Professional Services"
"Alvaria, Inc.","Alvaria, Inc.","Software & SaaS","Bengaluru",1,9,"","industry: Software & SaaS"
"Amada Co. Ltd.","Amada Co. Ltd.","Industrial","Bengaluru; Chennai; Faridabad",3,5,"","industry: Industrial"
"Amadeus IT Group, S.A.","Amadeus IT Group, S.A.","Software & SaaS","Bengaluru; Pune",2,84,"","industry: Software & SaaS"
"Amagi Corp.","Amagi Corp.","Software & SaaS","Bengaluru; New Delhi",2,25,"","industry: Software & SaaS"
"Amazon Web Services, Inc.","Amazon Web Services, Inc.","Software & SaaS","Hyderabad; Mumbai",2,59,"","city: Mumbai"
"Amazon.com, Inc.","Amazon.com, Inc.","Marketplace","Bengaluru; Chennai; Gurugram; Hyderabad; Mumbai; Pune",8,53,"","city: Mumbai"
"Amdocs Ltd.","Amdocs Ltd.","Software & SaaS","Gurugram; Pune",2,426,"","city: Gurugram"
"American Axle & Manufacturing, Inc.","American Axle & Manufacturing, Inc.","Automotive","Pune; Chennai; Rudrapur",6,10,"","industry: Automotive"
"American Express Co.","American Express Co.","BFSI","Gurugram; Bengaluru; Chennai; Mumbai; New Delhi",6,332,"","industry: BFSI"
"American International Group, Inc.","American International Group, Inc.","BFSI","Bengaluru; Chennai; Gurugram",3,7,"","industry: BFSI"
"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.","BFSI","Gurugram; Noida",2,25,"","industry: BFSI"
"Ametek, Inc.","Ametek, Inc.","Industrial","Bengaluru; Mumbai",3,19,"","industry: Industrial"
"Amgen Inc.","Amgen Inc.","Healthcare Life Sciences & Pharma","Bengaluru; Hyderabad; Mumbai",3,48,"","industry: Healthcare Life Sciences & Pharma"
"Amicorp Ltd.","Amicorp Ltd.","BFSI","Bengaluru; Mumbai",2,13,"","industry: BFSI"
"AML RightSource, LLC","AML RightSource, LLC","BFSI","Noida",1,2,"","industry: BFSI"
"Amneal Pharmaceuticals, Inc.","Amneal Pharmaceuticals, Inc.","Healthcare Life Sciences & Pharma","Ahmedabad; Bharuch; Hyderabad; Mumbai; Visakhapatnam",8,31,"","industry: Healthcare Life Sciences & Pharma"
"Amway Corp.","Amway Corp.","Retail & Consumer Goods","Gurugram; Nilakkottai",2,32,"","industry: Retail & Consumer Goods"
"Analog Devices, Inc.","Analog Devices, Inc.","Hi-Tech","Bengaluru",2,26,"","industry: Hi-Tech"
"Analytics Quotient (part of The Kantar Group Ltd.)","Analytics Quotient (part of The Kantar Group Ltd.)","Professional Services","Bengaluru",1,5,"","industry: Professional Services"
"Anaptyss, Inc.","Anaptyss, Inc.","Professional Services","Gurugram",1,2,"","industry: Professional Services"
"Andritz AG","Andritz AG","Industrial","Chennai; Bengaluru; Mandideep; New Delhi; Palwal",6,27,"","industry: Industrial"
"Anglo-Eastern Univan Group Ltd.","Anglo-Eastern Univan Group Ltd.","Travel, Transport, Logistics & Hospitality","Mumbai; Navi Mumbai; New Delhi",3,2,"","city: New Delhi"
"Anheuser-Busch InBev S.A./N.V.","Anheuser-Busch InBev S.A./N.V.","Retail & Consumer Goods","Bengaluru; Medak; Mysuru",4,28,"","industry: Retail & Consumer Goods"
"Anritsu Corp.","Anritsu Corp.","Telecom","Bengaluru",1,6,"","industry: Telecom"
"Antal International Ltd.","Antal International Ltd.","Professional Services","Mumbai",1,3,"","industry: Professional Services"
"Anton Paar GmbH","Anton Paar GmbH","Healthcare Life Sciences & Pharma","Gurugram; Thane",2,4,"","industry: Healthcare Life Sciences & Pharma"
"Anuta Networks International LLC","Anuta Networks International LLC","Telecom","Bengaluru",1,1,"","industry: Telecom"
