slug,company_name,active_centers,leaders
"24-7-ai","[24]7.ai, Inc.",3,43
"3m-co","3M Co.",7,26
"7-eleven","7-Eleven, Inc.",1,25
"a-p-moller-maersk","A.P. Moller Maersk A/S",6,89
"ab-skf","AB SKF",9,31
"abacus-ai","Abacus.AI, Inc.",1,5
"abb","ABB Ltd.",12,204
"abbott-laboratories","Abbott Laboratories",8,291
"abbvie","AbbVie Inc.",1,13
"abbyy-development","ABBYY Development Inc.",2,1
"abc-fitness-solutions","ABC Fitness Solutions, LLC",1,2
"absolutdata-holdings","AbsolutData Holdings, Inc. (Acquired by Infogain Corp.)",2,27
"accenture","Accenture plc",23,825
"accolite-digital","Accolite Digital LLC",4,27
"aci-worldwide","ACI Worldwide, Inc.",3,12
"acquia","Acquia, Inc.",1,10
"actalent","Actalent, Inc.",4,8
"adaequare","Adaequare, Inc.",1,4
"adama-agricultural-solutions","Adama Agricultural Solutions Ltd.",2,13
"adecco-group","Adecco Group AG",2,14
"adenza-group","Adenza Group, Inc. (Acquired by Nasdaq, Inc.)",1,14
"adept-chips-services-pvt","Adept Chips Services Pvt. Ltd. (Acquired by Quest Global Services Pte. Ltd.)",7,45
"adeptia","Adeptia, Inc.",1,2
"adform","Adform A/S",1,6
"adidas","Adidas AG",3,49
"adient","Adient plc",8,8
"aditi-consulting","Aditi Consulting LLC",2,3
"admiral-group","Admiral Group plc",2,10
"adobe","Adobe, Inc.",6,285
"adolf-wuerth-gmbh-co-kg","Adolf Wuerth GmbH & Co. KG",5,12
"adp","ADP, Inc.",3,55
"advance-auto-parts","Advance Auto Parts, Inc.",1,10
"advanced-micro-devices","Advanced Micro Devices, Inc.",4,100
"advanta-seeds-dmcc","Advanta Seeds DMCC",3,8
"advantech-co","Advantech Co., Ltd.",3,3
"advantedge-healthcare-solutions","Advantedge Healthcare Solutions Inc. (Acquired by Health Prime International)",2,6
"adyen-n-v","Adyen N.V.",1,2
"aecom-technology","AECOM Technology Corp.",2,21
"aegis","Aegis Ltd. (Merged into StarTek, Inc.)",1,23
"affle-3i","Affle 3i Ltd.",2,10
"agco","AGCO Corp.",2,4
"agilent-technologies","Agilent Technologies, Inc.",7,20
"agility-public-warehousing-company-k-s-c-p","Agility Public Warehousing Company K.S.C.P.",1,2
"agilon-health","Agilon Health, Inc.",1,5
"agnity","Agnity, Inc (Acquired by Transaction Network Services, Inc.)",1,2
"aidash","AiDash, Inc.",1,2
"air-liquide","Air Liquide S.A.",5,17
"air-products-chemicals","Air Products & Chemicals, Inc",12,15
"air-worldwide","AIR Worldwide Corp. (Acquired by Verisk Analytics, Inc.)",1,5
"airbnb","Airbnb, Inc.",2,3
