Account Global Legal Name,Website,Center Type,City,HQ Country,HQ Primary Nature,HQ Revenue Range,HQ Employee Range,India Head Count Range
"[24]7.ai, Inc.",247.ai,GBS / SSC,Hyderabad / Bengaluru,United States,Software,1Bn - 5Bn,10K - 25K,1K - 5K
3M Co.,3m.com,R&D / CoE,Bengaluru,United States,Conglomerate,10Bn - 25Bn,>50K,1K - 5K
"7-Eleven, Inc.",7-eleven.com,GCC/GIC,Bengaluru,United States,Retail,>50Bn,>50K,501 - 1K
A. O. Smith Corp.,aosmith.com,R&D,Harohalli,United States,Manufacturing,1Bn - 5Bn,10K - 25K,200 - 500
A.P. Moller Maersk A/S,maersk.com,GCC/GIC / CoE,Bengaluru / Chennai,Denmark,Services,>50Bn,>50K,1K - 5K
ABB Ltd.,abb.com,GBS / R&D,Bengaluru / Hyderabad,Switzerland,Manufacturing,25Bn - 50Bn,>50K,1K - 5K
Abbott Laboratories,abbott.com,CoE / R&D,New Delhi / Bengaluru,United States,Manufacturing,25Bn - 50Bn,>50K,1K - 5K
AccessHealthcare LLC,accesshealthcare.com,CoE / IT,Noida / Chennai,United States,Services,1Bn - 5Bn,25K - 50K,>10K
"B Medical Systems
(Acquired by Azenta Inc.)",azenta.com,R&D,Ahmedabad / Mumbai,United States,Services,500Mn - 1Bn,100 - 500,<200
Bacardi Ltd.,bacardilimited.com,GBS / R&D,Gurugram / Mysuru,Bermuda,Manufacturing,1Bn - 5Bn,5K - 10K,<200
Back Office Shared Services Pty. Ltd.,boz.com.au,SSC,Bengaluru,Australia,Services,<100Mn,100 - 500,<200
BNP Paribas S.A.,bnpparibas.com,GCC/GIC / GBS,Bengaluru / Mumbai,France,Services,>50Bn,>50K,1K - 5K
BP plc,bp.com,GBS,Pune,United Kingdom,Mining,>50Bn,>50K,1K - 5K
"C.H. Robinson Worldwide, Inc.",chrobinson.com,SSC,Chennai,United States,Services,10Bn - 25Bn,10K - 25K,<200
CaaStle Inc.,caastle.com,IT,New Delhi,United States,Retail,<100Mn,100 - 500,<200
"Cadence Design Systems, Inc.",cadence.com,IT / R&D,Bengaluru / Pune,United States,Software,1Bn - 5Bn,10K - 25K,1K - 5K
d-Matrix Corp.,d-matrix.ai,R&D,Bengaluru,United States,Manufacturing,1Bn - 5Bn,100 - 500,<200
"D. E. SHAW & Co., L.P.",deshaw.com,IT / SSC,Hyderabad / Bengaluru,United States,Services,1Bn - 5Bn,1K - 5K,1K - 5K
"Daikin Industries, Ltd.",daikin.com,R&D / SSC,Hyderabad / Gurugram,Japan,Manufacturing,25Bn - 50Bn,>50K,1K - 5K
e-con Systems Inc.,e-consystems.com,R&D,Chennai,United States,Manufacturing,100Mn - 250Mn,500 - 1K,200 - 500
"E-Ring, Inc.",eringcrm.com,IT,Hyderabad,United States,Software,<100Mn,<100,<200
"E-Solutions, Inc.",e-solutionsinc.com,GCC/GIC,Noida,United States,Services,100Mn - 250Mn,1K - 5K,501 - 1K
"e2open, LLC.",e2open.com,GBS,Bengaluru,United States,Software,500Mn - 1Bn,1K - 5K,501 - 1K
EagleBurgmann Germany GmbH & Co. K.G.,eagleburgmann.com,SSC,Chennai,Germany,Manufacturing,500Mn - 1Bn,5K - 10K,200 - 500
F. Hoffmann-La Roche Ltd.,roche.com,CoE,Pune / Hyderabad,Switzerland,Manufacturing,>50Bn,>50K,501 - 1K
"F5, Inc.",f5.com,Engineering & Design / CoE,Bengaluru / Hyderabad,United States,Services,1Bn - 5Bn,5K - 10K,1K - 5K
​​​Freudenberg SE,freudenberg.com,CoE / R&D,Rameswaram / Chandigarh,Germany,Manufacturing,10Bn - 25Bn,>50K,<200
"G2.com, Inc.",g2.com,GCC/GIC,Bengaluru,United States,Software,<100Mn,1K - 5K,<200
Gabriel & Co.,gabrielny.com,IT,Chennai,United States,Retail,<100Mn,100 - 500,<200
"GAIN Credit, Inc.",gaincredit.com,GCC/GIC,Chennai,United States,Services,<100Mn,100 - 500,200 - 500
"Gainsight, Inc.",gainsight.com,GCC/GIC,Bengaluru / Hyderabad,United States,Software,250Mn - 500Mn,1K - 5K,501 - 1K
H & M Hennes & Mauritz AB,hmgroup.com,IT,Bengaluru,Sweden,Retail,10Bn - 25Bn,>50K,501 - 1K
H.B. Fuller Co.,hbfuller.com,CoE / R&D,Pune,United States,Manufacturing,1Bn - 5Bn,5K - 10K,200 - 500
H&MV Engineering Ltd.,hmvengineering.com,Engineering & Design,Bengaluru / Hosur,Ireland,Services,<100Mn,100 - 500,<200
IAV GmbH,iav.com,Engineering & Design,Pune,Germany,Services,1Bn - 5Bn,5K - 10K,<200
"IBM Labs
( Part of International Business Machines Corp.)",ibm.com,IT,Bengaluru / Gurugram,United States,Services,>50Bn,>50K,>10K
"Icertis, Inc.",icertis.com,Engineering & Design,Pune,United States,Software,250Mn - 500Mn,1K - 5K,1K - 5K
Icon plc,iconplc.com,R&D,Bengaluru / Chennai,Ireland,Services,5Bn - 10Bn,25K - 50K,1K - 5K
Jacobs Solutions Inc.,jacobs.com,Engineering & Design / GBS,Bengaluru / Mumbai,United States,Services,10Bn - 25Bn,25K - 50K,1K - 5K
Jaggaer LLC,jaggaer.com,GCC/GIC,Hyderabad,United States,Software,250Mn - 500Mn,1K - 5K,<200
"Janssen Global Services, LLC",janssen.com,R&D,Mumbai,Belgium,Manufacturing,5Bn - 10Bn,25K - 50K,200 - 500
"Jardine Lloyd Thompson (JLT Group)
(Acquired by Marsh & McLennan Companies, Inc.)",marshmclennan.com,SSC,Pune / Mumbai,United States,Services,10Bn - 25Bn,>50K,200 - 500
K.A. Schmersal GmbH & Co. KG.,schmersal.com,GBS / Engineering & Design,Pune,Germany,Manufacturing,250Mn - 500Mn,1K - 5K,200 - 500
"Kansai Paint Co., Ltd.",kansai.com,R&D,Mumbai,Japan,Manufacturing,1Bn - 5Bn,10K - 25K,501 - 1K
"Kaplan, Inc.",kaplan.com,Engineering & Design,Bengaluru,United States,Services,1Bn - 5Bn,10K - 25K,200 - 500
Kaseya Ltd.,kaseya.com,GBS,Bengaluru,United States,Software,500Mn - 1Bn,1K - 5K,501 - 1K
Koninklijke Philips N.V.,philips.com,SSC / R&D,Kolkata / Bengaluru,Netherlands,Conglomerate,10Bn - 25Bn,>50K,1K - 5K
L'Oreal S.A.,loreal.com,R&D,Bengaluru / Mumbai,France,Manufacturing,25Bn - 50Bn,>50K,1K - 5K
L3Harris Technologies Inc.,l3harris.com,Engineering & Design,Bengaluru / New Delhi,United States,Manufacturing,10Bn - 25Bn,25K - 50K,<200
Laboratory Corp. of America Holdings,labcorp.com,R&D / GBS,Bengaluru / Pune,United States,Services,10Bn - 25Bn,>50K,1K - 5K
"M. Arthur Gensler Jr. & Associates, Inc.",gensler.com,Engineering & Design,Bengaluru / Mumbai,United States,Services,1Bn - 5Bn,5K - 10K,<200
M/A-COM Technology Solutions Holdings Inc.,macom.com,GBS,Bengaluru,United States,Manufacturing,500Mn - 1Bn,1K - 5K,<200
M&G plc,mandg.com,GCC/GIC,Mumbai,United Kingdom,Services,5Bn - 10Bn,5K - 10K,1K - 5K
M31 Technology Corp.,m31tech.com,R&D,Bengaluru,Taiwan,Manufacturing,<100Mn,100 - 500,<200
N-iX Ltd.,n-ix.com,R&D,Bengaluru,Malta,Services,100Mn - 250Mn,1K - 5K,<200
N.V. Bekaert S.A.,bekaert.com,SSC,Pune,Belgium,Manufacturing,1Bn - 5Bn,10K - 25K,200 - 500
Nagarro SE,nagarro.com,IT,Chandigarh / Lucknow,Germany,Services,1Bn - 5Bn,10K - 25K,1K - 5K
O.C. Tanner Co.,octanner.com,IT,Hyderabad,United States,Software,250Mn - 500Mn,1K - 5K,<200
"o9 Solutions, Inc.",o9solutions.com,GBS / R&D,Bengaluru / Hyderabad,United States,Software,250Mn - 500Mn,1K - 5K,1K - 5K
OakNorth Bank plc,oaknorth.co.uk,GBS,Gurugram / Hyderabad,United Kingdom,Services,250Mn - 500Mn,100 - 500,200 - 500
"Okta, Inc.",okta.com,R&D,Bengaluru,United States,Services,1Bn - 5Bn,5K - 10K,200 - 500
Paanini Inc.,jiffy.com,IT,Bengaluru / Kochi,United States,Software,<100Mn,<100,<200
Paccar Inc.,paccar.com,Engineering & Design,Pune,United States,Manufacturing,25Bn - 50Bn,25K - 50K,200 - 500
Pall Corp.,pall.com,Engineering & Design,Bengaluru / Pune,United States,Manufacturing,500Mn - 1Bn,10K - 25K,200 - 500
Panasonic Holdings Corp.,panasonic.com,GBS / R&D,Gurugram,Japan,Manufacturing,>50Bn,>50K,1K - 5K
"PayPal Holdings, Inc.",paypal.com,IT,Chennai / Hyderabad,United States,Services,25Bn - 50Bn,10K - 25K,1K - 5K
PerkinElmer Inc.,perkinelmer.com,CoE,Hyderabad / Pune,United States,Manufacturing,5Bn - 10Bn,5K - 10K,<200
Peugeot S.A.,peugeot.com,Engineering & Design,Chennai,France,Manufacturing,10Bn - 25Bn,25K - 50K,200 - 500
"PicsArt, Inc.",picsart.com,IT,Bengaluru,United States,Software,100Mn - 250Mn,1K - 5K,<200
Polaris Inc.,polaris.com,GBS / GCC/GIC,Coimbatore / Bengaluru,United States,Manufacturing,5Bn - 10Bn,10K - 25K,200 - 500
PricewaterhouseCoopers International Ltd.,pwc.com,GCC/GIC,Hyderabad / Gurugram,United Kingdom,Services,>50Bn,>50K,1K - 5K
"Prudential Financial, Inc.",prudential.com,IT,Bengaluru / Gurugram,United States,Services,>50Bn,25K - 50K,501 - 1K
Q3 Technologies,q3tech.com,R&D,Gurugram / Mumbai,United States,Services,<100Mn,500 - 1K,200 - 500
QAD Inc.,qad.com,SSC,Mumbai,United States,Software,250Mn - 500Mn,1K - 5K,200 - 500
Qatar Airways Company Q.C.S.C.,qatarairways.com,IT,Ahmedabad,Qatar,Services,10Bn - 25Bn,>50K,501 - 1K
"Qualcomm Technologies, Inc.",qualcomm.com,Engineering & Design / GCC/GIC,Chennai / Mumbai,United States,Manufacturing,25Bn - 50Bn,25K - 50K,1K - 5K
R. STAHL AG..,r-stahl.com,CoE,Chennai,Germany,Manufacturing,250Mn - 500Mn,1K - 5K,<200
"R1 RCM, Inc.",r1rcm.com,SSC,Gurugram / Noida,United States,Software,5Bn - 10Bn,25K - 50K,1K - 5K
"Rackspace Technology, Inc.",rackspace.com,IT / SSC,Hyderabad / Gurugram,United States,Services,1Bn - 5Bn,5K - 10K,1K - 5K
"Rakuten Group, Inc.",rakuten.com,IT / R&D,Bengaluru,Japan,Retail,10Bn - 25Bn,25K - 50K,1K - 5K
"S&B Engineers and Constructors, Ltd.",sbec.com,Engineering & Design,Noida,United States,Manufacturing,1Bn - 5Bn,5K - 10K,200 - 500
S&P Global Inc.,spglobal.com,CoE / IT,Hyderabad / Gurugram,United States,Services,10Bn - 25Bn,25K - 50K,5K - 10K
T-Systems International GmbH,t-systems.com,GBS,Bengaluru / Pune,Germany,Services,1Bn - 5Bn,25K - 50K,1K - 5K
Taikisha Ltd.,taikisha-group.com,Engineering & Design,Gurugram / Mumbai,Japan,Manufacturing,1Bn - 5Bn,5K - 10K,<200
"Uber Technologies, Inc.",uber.com,CoE / SSC,Hyderabad / Bengaluru,United States,Software,25Bn - 50Bn,25K - 50K,1K - 5K
Ubisoft Entertainment S.A.,ubisoft.com,R&D,Mumbai / Pune,France,Services,1Bn - 5Bn,10K - 25K,1K - 5K
UBS Group AG,ubs.com,GCC/GIC,Hyderabad / Pune,Switzerland,Services,25Bn - 50Bn,>50K,1K - 5K
V.Group Ltd.,vgrouplimited.com,GBS,Mumbai,United Kingdom,Services,500Mn - 1Bn,25K - 50K,501 - 1K
Vadatech Inc.,vadatech.com,R&D,Bengaluru,United States,Manufacturing,<100Mn,100 - 500,<200
Valeo S.A.,valeo.com,R&D / Engineering & Design,Chennai / Kanchipuram,France,Manufacturing,10Bn - 25Bn,>50K,5K - 10K
Wabtec Corp.,wabteccorp.com,CoE / SSC,Bengaluru / Gurugram,United States,Manufacturing,10Bn - 25Bn,25K - 50K,1K - 5K
Wacker Chemie AG,wacker.com,Engineering & Design,Bengaluru / Mumbai,Germany,Manufacturing,5Bn - 10Bn,10K - 25K,<200
Xactly Corp.,xactlycorp.com,IT,Bengaluru,United States,Software,100Mn - 250Mn,500 - 1K,200 - 500
"Xalted, Inc.",xaltedcorp.com,IT,Mumbai,United States,Services,<100Mn,<100,<200
Xebia USA Inc.,xebia.com,R&D,Bengaluru / Pune,United States,Services,500Mn - 1Bn,5K - 10K,501 - 1K
"YagnaiQ, Inc.",yagnaiq.com,R&D,Pune,United States,Software,<100Mn,<100,<200
Yahoo Inc.,yahooinc.com,IT / R&D,Mumbai / Bengaluru,United States,Conglomerate,1Bn - 5Bn,5K - 10K,501 - 1K
"Yamaha Motor Co., Ltd.",yamaha-motor.com,R&D,Kanchipuram / Noida,Japan,Manufacturing,10Bn - 25Bn,>50K,501 - 1K
"Z21 Labs, Inc.",observe.ai,IT,Bengaluru,United States,Software,<100Mn,100 - 500,<200
Zafin Group,zafin.com,CoE,Chennai / Thiruvananthapuram,Canada,Software,<100Mn,500 - 1K,200 - 500
Zebra Technologies Corp.,zebra.com,R&D,Bengaluru / Pune,United States,Manufacturing,1Bn - 5Bn,5K - 10K,1K - 5K
